"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","EGFRCL","CL","V1","V2","Q","KD","N","ETA(1)","ETA(2)","EPS(1)","seEGFRCL","seCL","seV1","seV2","seQ","seKD","seN","seETA(1)","seETA(2)","seEPS(1)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10"
46,1,1,0,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,NA,202.61,0,-7544.8301630989690,1.42598,8.50597,63.4496,43.8259,20.397,0.0464202,0.902357,0.0914562,0.22434,0.0416183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FOCE_I,NA,396.68,0,-7318.4621722963684,1.54652,7.87259,52.9708,38.625,18.3283,0.0423492,0.785889,0.121275,0.370147,0.0488268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,1,0,0,0,0,0,0,1,1,0,0,NA,NA,FOCE_I,NA,415.58,0,-7510.1400246691928,1.65114,8.3109,52.5419,40.5742,19.21,0.0452421,0.859954,0.119519,0.259889,0.0415983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,137.57,0,-7792.5439221125989,1.75081,8.40271,59.2447,45.4212,20.1124,0.0379877,0.82316,0.105204,0.277297,0.0454669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,FOCE_I,NA,261.88,0,-6919.9877270067955,1.71222,7.97179,51.9619,44.93,20.7329,0.0343104,0.79321,0.135717,0.297209,0.0438423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,153.87,0,-7246.1119758189070,1.64971,8.09112,53.8708,46.0021,20.3394,0.0372711,0.803632,0.0699357,0.279349,0.0518949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,177.62,0,-7864.7728738665473,1.5432,8.34514,59.8526,44.9721,19.3325,0.0399796,0.795176,0.0880949,0.31245,0.0504345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,179.77,0,-7545.0525405928202,1.53433,7.99684,56.5019,43.1398,20.3655,0.0410488,0.832394,0.140545,0.282498,0.0418348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,187.13,0,-7304.7081772360052,1.58098,8.00804,53.0075,44.8182,21.637,0.0428116,0.852783,0.111729,0.274864,0.0475595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,1,0,1,0,0,0,0,0,0,1,0,3.6,NA,FOCE_I,NA,311.9,0,-7141.8516038116195,1.70787,7.79142,46.3392,45.9721,20.8239,0.0413627,0.808729,0.123351,0.333291,0.0472589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,125.58,0,-7759.6524402559335,1.72675,9.96424,68.8978,49.7315,21.8588,0.0269525,0.713794,0.0603169,0.271421,0.0547293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,1,0,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,NA,190.77,0,-7237.7583070246947,1.81242,8.11241,49.4796,46.2989,21.8777,0.0441171,0.848692,0.112984,0.251077,0.0452086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,NA,166.51,0,-7445.7350299429972,1.48112,8.23233,52.8074,46.5636,18.2957,0.0467618,0.872593,0.082873,0.236553,0.049274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,NA,305.33,0,-7610.7752703624892,1.77838,7.85704,53.243,47.1032,20.7484,0.050596,0.895038,0.119051,0.291247,0.0420596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,NA,142.39,0,-7537.4693310423163,1.46981,7.83584,58.8958,44.3439,21.3072,0.037882,0.803997,0.0772965,0.209512,0.045843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,231.69,0,-7393.8580455359488,1.36339,7.95515,54.4862,44.9677,17.9041,0.0460021,0.865936,0.0805885,0.292067,0.0463537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,268.54,0,-7141.4495517890700,1.55588,9.19777,56.15,41.9015,18.84,0.0394493,0.833052,0.0967689,0.295446,0.0444424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,238.27,0,-7114.4381104387339,1.57367,7.97289,57.2377,37.1606,20.1699,0.0424879,0.836593,0.116946,0.330151,0.0445289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,307.81,0,-7618.7134368008201,1.67103,8.6167,52.5508,45.8837,20.47,0.0426202,0.830011,0.123966,0.362324,0.0433075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,NA,216.62,0,-7328.2442181513188,1.62074,7.98677,57.237,38.43,20.6354,0.0411369,0.843299,0.0918967,0.241924,0.0444782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,NA,501.48,0,-7466.4092603860827,1.68898,8.56718,61.4345,35.3205,19.132,0.0362895,0.78392,0.129707,0.351908,0.0436757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,NA,404.52,0,-7361.2719201112977,1.65001,7.44177,52.3558,39.3884,21.6613,0.0517095,0.911825,0.110053,0.337653,0.0434667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,NA,348.16,0,-7446.6521000341299,1.42342,7.92279,59.4641,40.6117,20.2207,0.0450923,0.877842,0.0964862,0.197492,0.0402522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,1,0,1,0,0,0,0,0,0,2,0,3.3,NA,FOCE_I,NA,301.5,0,-7662.7948256346372,1.65836,8.21574,53.9336,41.476,19.8864,0.0440529,0.862568,0.0833364,0.198375,0.0391377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
